name	source	layer	lat	lon	country	postalcode
AT95	geonamesandpostcodeinfo	address	46.7081	14.0031	AT	95
AT96	geonamesandpostcodeinfo	address	46.6382	13.2607	AT	96
AT91	geonamesandpostcodeinfo	address	46.6064	14.5573	AT	91
AT88	geonamesandpostcodeinfo	address	47.1203	14.244	AT	88
AT93	geonamesandpostcodeinfo	address	46.8599	14.3686	AT	93
AT97	geonamesandpostcodeinfo	address	46.7388	13.3909	AT	97
AT98	geonamesandpostcodeinfo	address	46.9014	13.3514	AT	98
AT94	geonamesandpostcodeinfo	address	46.8081	14.8497	AT	94
AT35	geonamesandpostcodeinfo	address	48.5271	15.5064	AT	35
AT31	geonamesandpostcodeinfo	address	48.1709	15.6571	AT	31
AT33	geonamesandpostcodeinfo	address	48.0902	15.0223	AT	33
AT32	geonamesandpostcodeinfo	address	48.0603	15.2675	AT	32
AT27	geonamesandpostcodeinfo	address	47.8286	16.0571	AT	27
AT43	geonamesandpostcodeinfo	address	48.2595	14.7172	AT	43
AT44	geonamesandpostcodeinfo	address	48.0837	14.4297	AT	44
AT25	geonamesandpostcodeinfo	address	47.9932	16.1284	AT	25
AT26	geonamesandpostcodeinfo	address	47.7196	15.9739	AT	26
AT30	geonamesandpostcodeinfo	address	48.1808	15.8962	AT	30
AT13	geonamesandpostcodeinfo	address	48.15	16.5167	AT	13
AT23	geonamesandpostcodeinfo	address	48.1148	16.3715	AT	23
AT21	geonamesandpostcodeinfo	address	48.5411	16.4758	AT	21
AT22	geonamesandpostcodeinfo	address	48.3822	16.7041	AT	22
AT38	geonamesandpostcodeinfo	address	48.8583	15.2698	AT	38
AT39	geonamesandpostcodeinfo	address	48.6305	15.0238	AT	39
AT20	geonamesandpostcodeinfo	address	48.6398	16.0255	AT	20
AT34	geonamesandpostcodeinfo	address	48.3525	15.9441	AT	34
AT37	geonamesandpostcodeinfo	address	48.6342	15.7829	AT	37
AT12	geonamesandpostcodeinfo	address	48.2017	16.3477	AT	12
AT36	geonamesandpostcodeinfo	address	48.3273	15.231	AT	36
AT86	geonamesandpostcodeinfo	address	47.5359	15.4545	AT	86
AT11	geonamesandpostcodeinfo	address	48.1731	16.2927	AT	11
AT89	geonamesandpostcodeinfo	address	47.5278	14.1006	AT	89
AT40	geonamesandpostcodeinfo	address	48.3412	14.0149	AT	40
AT46	geonamesandpostcodeinfo	address	48.1165	13.8748	AT	46
AT49	geonamesandpostcodeinfo	address	48.2051	13.4354	AT	49
AT51	geonamesandpostcodeinfo	address	48.063	12.9679	AT	51
AT52	geonamesandpostcodeinfo	address	48.103	13.1774	AT	52
AT47	geonamesandpostcodeinfo	address	48.3398	13.6918	AT	47
AT41	geonamesandpostcodeinfo	address	48.5172	14.0168	AT	41
AT42	geonamesandpostcodeinfo	address	48.4209	14.5227	AT	42
AT48	geonamesandpostcodeinfo	address	47.9543	13.5537	AT	48
AT53	geonamesandpostcodeinfo	address	47.7936	13.3108	AT	53
AT45	geonamesandpostcodeinfo	address	47.9569	14.2194	AT	45
AT50	geonamesandpostcodeinfo	address	47.7139	12.9339	AT	50
AT54	geonamesandpostcodeinfo	address	47.6063	13.2034	AT	54
AT55	geonamesandpostcodeinfo	address	47.2873	13.5216	AT	55
AT56	geonamesandpostcodeinfo	address	47.2712	13.0635	AT	56
AT57	geonamesandpostcodeinfo	address	47.332	12.6097	AT	57
AT80	geonamesandpostcodeinfo	address	47.0217	15.5381	AT	80
AT81	geonamesandpostcodeinfo	address	47.1752	15.4438	AT	81
AT84	geonamesandpostcodeinfo	address	46.7781	15.5673	AT	84
AT85	geonamesandpostcodeinfo	address	46.8819	15.2357	AT	85
AT87	geonamesandpostcodeinfo	address	47.2914	14.7536	AT	87
AT60	geonamesandpostcodeinfo	address	47.2525	11.4261	AT	60
AT61	geonamesandpostcodeinfo	address	47.2261	11.4132	AT	61
AT64	geonamesandpostcodeinfo	address	47.2067	10.9308	AT	64
AT63	geonamesandpostcodeinfo	address	47.5319	12.2345	AT	63
AT62	geonamesandpostcodeinfo	address	47.3345	11.8522	AT	62
AT65	geonamesandpostcodeinfo	address	47.0758	10.5219	AT	65
AT99	geonamesandpostcodeinfo	address	46.8662	12.5923	AT	99
AT66	geonamesandpostcodeinfo	address	47.4084	10.5958	AT	66
AT67	geonamesandpostcodeinfo	address	47.1715	9.9088	AT	67
AT68	geonamesandpostcodeinfo	address	47.3112	9.7577	AT	68
AT69	geonamesandpostcodeinfo	address	47.4809	9.8463	AT	69
AT10	geonamesandpostcodeinfo	address	48.1692	16.3326	AT	10
AU02	geonamesandpostcodeinfo	address	-35.2913	149.13	AU	02
AU25	geonamesandpostcodeinfo	address	-34.9768	150.1885	AU	25
AU26	geonamesandpostcodeinfo	address	-35.3777	148.1375	AU	26
AU29	geonamesandpostcodeinfo	address	-35.3166	149.1083	AU	29
AU10	geonamesandpostcodeinfo	address	-33.8678	151.2073	AU	10
AU11	geonamesandpostcodeinfo	address	-33.8678	151.2073	AU	11
AU12	geonamesandpostcodeinfo	address	-33.8716	151.2066	AU	12
AU13	geonamesandpostcodeinfo	address	-33.8781	151.2298	AU	13
AU14	geonamesandpostcodeinfo	address	-33.947	151.1514	AU	14
AU15	geonamesandpostcodeinfo	address	-33.8193	151.1909	AU	15
AU16	geonamesandpostcodeinfo	address	-33.7579	151.1872	AU	16
AU17	geonamesandpostcodeinfo	address	-33.7648	151.0311	AU	17
AU18	geonamesandpostcodeinfo	address	-33.8873	151.0085	AU	18
AU19	geonamesandpostcodeinfo	address	-33.8816	150.9844	AU	19
AU20	geonamesandpostcodeinfo	address	-33.8258	151.2048	AU	20
AU21	geonamesandpostcodeinfo	address	-33.8192	151.034	AU	21
AU22	geonamesandpostcodeinfo	address	-33.418	151.3874	AU	22
AU23	geonamesandpostcodeinfo	address	-31.5393	151.1129	AU	23
AU24	geonamesandpostcodeinfo	address	-30.099	152.7355	AU	24
AU27	geonamesandpostcodeinfo	address	-34.0689	148.8494	AU	27
AU28	geonamesandpostcodeinfo	address	-32.3734	148.4651	AU	28
AU35	geonamesandpostcodeinfo	address	-36.0044	143.7514	AU	35
AU36	geonamesandpostcodeinfo	address	-36.4514	145.8951	AU	36
AU37	geonamesandpostcodeinfo	address	-37.0287	146.0825	AU	37
AU43	geonamesandpostcodeinfo	address	-27.7894	152.0915	AU	43
AU08	geonamesandpostcodeinfo	address	-16.1729	132.329	AU	08
