name	source	postalcode	layer	lat	lon
AL20	geonames2d	20	postalcode	41.388	19.5199
AL63	geonames2d	63	postalcode	40.3677	19.9321
AL86	geonames2d	86	postalcode	42.1792	20.3827
AL46	geonames2d	46	postalcode	41.7376	19.9011
AL10	geonames2d	10	postalcode	41.3247	19.8132
AL87	geonames2d	87	postalcode	42.3347	20.094
AL44	geonames2d	44	postalcode	42.0715	19.9913
AL15	geonames2d	15	postalcode	41.5014	19.7227
AL47	geonames2d	47	postalcode	41.6334	19.6965
AL25	geonames2d	25	postalcode	41.1409	19.5963
AL34	geonames2d	34	postalcode	41.1329	20.4291
AL84	geonames2d	84	postalcode	41.4854	20.3334
AL53	geonames2d	53	postalcode	40.7074	19.9629
AL33	geonames2d	33	postalcode	40.8418	20.2347
AL35	geonames2d	35	postalcode	41.0439	19.774
SJ91	geonames2d	91	postalcode	77.4027	17.9344
SJ80	geonames2d	80	postalcode	70.9789	-8.5076
CZ25	geonames2d	25	postalcode	49.8049	14.6616
CZ28	geonames2d	28	postalcode	49.981	15.1326
CZ26	geonames2d	26	postalcode	49.7308	14.1574
CZ67	geonames2d	67	postalcode	49.1995	16.1639
CZ68	geonames2d	68	postalcode	49.1651	17.2015
CZ69	geonames2d	69	postalcode	48.9262	16.9824
CZ61	geonames2d	61	postalcode	49.2778	15.8998
CZ64	geonames2d	64	postalcode	49.2067	16.59
CZ62	geonames2d	62	postalcode	49.2318	15.9904
CZ63	geonames2d	63	postalcode	49.1417	16.3667
CZ60	geonames2d	60	postalcode	48.7667	14.7833
CZ66	geonames2d	66	postalcode	49.1552	16.442
CZ79	geonames2d	79	postalcode	49.8466	17.2371
CZ47	geonames2d	47	postalcode	50.6563	14.5801
CZ46	geonames2d	46	postalcode	50.7259	15.0606
CZ37	geonames2d	37	postalcode	49.05	14.7419
CZ39	geonames2d	39	postalcode	49.4305	14.7196
CZ38	geonames2d	38	postalcode	49.0443	14.1259
CZ35	geonames2d	35	postalcode	50.1387	12.5391
CZ43	geonames2d	43	postalcode	50.4059	13.4592
CZ44	geonames2d	44	postalcode	50.3035	13.6473
CZ56	geonames2d	56	postalcode	49.9089	16.4482
CZ53	geonames2d	53	postalcode	49.9346	15.8086
CZ40	geonames2d	40	postalcode	50.7619	14.2398
CZ34	geonames2d	34	postalcode	49.4837	13.1517
CZ73	geonames2d	73	postalcode	49.7267	18.3687
CZ58	geonames2d	58	postalcode	49.5471	15.5424
CZ19	geonames2d	19	postalcode	50.0899	14.5196
CZ10	geonames2d	10	postalcode	50.0109	14.4557
CZ18	geonames2d	18	postalcode	49.9479	14.8723
CZ14	geonames2d	14	postalcode	50.0563	14.2828
CZ16	geonames2d	16	postalcode	50.1107	14.352
CZ15	geonames2d	15	postalcode	49.9567	14.372
CZ11	geonames2d	11	postalcode	50.2866	15.8553
CZ17	geonames2d	17	postalcode	50.1126	14.4285
CZ13	geonames2d	13	postalcode	50.0808	14.4923
CZ12	geonames2d	12	postalcode	49.9135	14.7718
CZ50	geonames2d	50	postalcode	50.3426	15.5197
CZ78	geonames2d	78	postalcode	49.7989	17.0591
CZ51	geonames2d	51	postalcode	50.4129	15.7404
CZ36	geonames2d	36	postalcode	50.1835	12.9788
CZ33	geonames2d	33	postalcode	49.6938	13.4027
CZ27	geonames2d	27	postalcode	50.2217	14.119
CZ76	geonames2d	76	postalcode	49.2429	17.6016
CZ29	geonames2d	29	postalcode	50.4139	14.9431
CZ41	geonames2d	41	postalcode	50.5236	14.1136
CZ54	geonames2d	54	postalcode	50.5013	15.9732
CZ55	geonames2d	55	postalcode	50.409	15.9992
CZ74	geonames2d	74	postalcode	49.7983	17.9387
CZ77	geonames2d	77	postalcode	49.6097	17.3071
CZ75	geonames2d	75	postalcode	49.4637	17.7124
CZ71	geonames2d	71	postalcode	49.7364	17.7742
CZ70	geonames2d	70	postalcode	49.9274	17.1199
CZ72	geonames2d	72	postalcode	49.7244	16.9244
CZ32	geonames2d	32	postalcode	49.735	13.3764
CZ30	geonames2d	30	postalcode	49.7608	13.4272
CZ31	geonames2d	31	postalcode	49.754	13.3317
CZ57	geonames2d	57	postalcode	49.7901	16.4256
CZ59	geonames2d	59	postalcode	49.4845	16.1237
DK37	geonames2d	37	postalcode	55.1561	14.9177
DK26	geonames2d	26	postalcode	55.6367	12.3392
DK34	geonames2d	34	postalcode	55.9178	12.3923
DK31	geonames2d	31	postalcode	56.0819	12.4768
DK28	geonames2d	28	postalcode	55.7728	12.494
DK27	geonames2d	27	postalcode	55.6973	12.4652
DK29	geonames2d	29	postalcode	55.8351	12.545
DK30	geonames2d	30	postalcode	55.9985	12.5506
DK35	geonames2d	35	postalcode	55.8185	12.2979
DK18	geonames2d	18	postalcode	55.6794	12.5346
DK19	geonames2d	19	postalcode	55.6794	12.5346
DK20	geonames2d	20	postalcode	55.6794	12.5346
DK36	geonames2d	36	postalcode	55.8223	12.0862
DK33	geonames2d	33	postalcode	55.9466	12.0484
DK32	geonames2d	32	postalcode	56.061	12.2221
